"Advanced configuration","Configuration avancée"
"Enable the Colissimo Point Retrait mode","Activer la méthode Colissimo Point Retrait"
"Enable the Colissimo International mode","Activer la méthode Colissimo International"
"Setup","Configuration"
"Name","Nom"
"New slice","Nouvelle tranche"
"Return labels","Etiquettes de retour"
"Yes","Oui"
"No","Non"
"Order","Commande"
"Order Date","Date de la commande"
"Purchased From","Acheté sur"
"Customer","Client"
"Street","Rue"
"Post Code","Code postal"
"City","Ville"
"Country","Pays"
"Reference","Référence"
"Shipping Description","Méthode de livraison"
"Unknown status: %1","Statut inconnu : %1"
"Tracking number","Etiquette"
"Update Colissimo Statuses","Mettre à jour les statuts Colissimo"
"Show international Relay Points", "Afficher les points de retrait à l'international"
"Web service returns 0 relay" , "Le web service n'a pas retourné de point de retrait"
"No relay available", "Pas de point de retrait disponible"
"Zipcode required to get relay points", "Le code postal est requis pour les points de retrait"
"The international option can't be enable if the country destination is France", "L'option international ne peut être activée si le pays de destination est la France"
"Shipping date required to get relay points", "La date d'expédition est requise pour les points de retrait"
"Country code required to get relay points", "Le code pays est requis pour les points de retrait"
"City required to get relay points", "La ville est requise pour les points de retrait"
"At", "À"
"Choose", "Choisir"
"Search", "Chercher"
"Zipcode", "Code postal"
"Address", "Adresse"
"Free shipping","Livraison gratuite"
"Should the shipping method be free","Activer la gratuité pour la méthode de livraison"
"All statuses where updated","Tous les statuts ont étés mis à jour"
"Some status were not correctly updated. Check logs for more details.","Certains statuts n'ont pas pu être mis à jour. Voir les logs pour plus de détails."
"Tracking information for order","Information de suivis de la commande"
"Shipping method:","Méthode de livraison :"
"Change your shipping information and options","Modifier votre livraison"
"Parcel","Colis"
"Status Date","Date du statut"
"Status","Statut"
"Details","Détails"
"Print outward label","Imprimer l'étiquette aller"
"Relay point","Point de retrait"
"Display mode","Mode d'affichage"
"Choose between the standard display mode from Colissimo (Widget) and the customizable ones (Google Maps or Open Street Maps)","Choisissez entre le mode d'affichage standard de Colissimo (Widget) et ceux customisables (Google Maps ou Open Street Maps)"
"Debug and Development","Debug et Développement"
"Debug Mode","Mode Debug"
"This option should only be activated shortly to debug this module.","Cette option ne doit être activée que pour une courte période, pour obtenir plus d'information dans les journaux (log) pour ce module."
"Log information lifetime (days)","Durée de vie des journaux (jours)"
"Delay before deleting log information. Use 0 or leave empty to disable.","Délai avant suppression des journaux. Utilisez 0 ou laissez vide pour désactiver."
"See last logs","Voir les derniers logs"
"Shipments","Envois"
"Print inward label","Imprimer l'étiquette retour"
"While generating label for shipment #%1: ","Pendant la génération de l'étiquette pour la livraison #%1: "
"Inward shipping labels have been generated.","Les étiquettes ont été générées."
"Order status to generate label","Statut des commandes pour génération des étiquettes"
"Order status where a label can be generated.","Statut des commandes à partir duquel les étiquettes peuvent être générées."
"Order status after giving parcel to carrier","Statut des commandes après remise du colis au transporteur"
"Order status to apply when the parcel has been delivered to the carrier.","Statut des commandes à appliquer une fois que le colis a été remis au transporteur."
"Generate Outward Shipping Labels","Générer l'étiquette aller"
"Generate Inward Shipping Labels","Générer l'étiquette retour"
"MailBox picking return","Dépot de colis retour en boîte aux lettres"
"Address from which the return will be from:", "Adresse depuis laquelle le retour sera fait :"
"Allow MailBox Pickup","Autoriser les retours en boîte aux lettres"
"Check that this address is allowed for MailBox picking return", "Verifier que cette adresse est éligible au retour en boîte aux lettres."
"Confirm Pick-Up", "Confirmer l'enlevement dans ma boîte aux lettres"
"MailBox pick-up","Enlevement dans ma boîte aux lettres"
"Only France is allowed", "Seule la France est autorisée"
"Please confirm before today %s that you will put the parcel in the MailBox described previously, before %s at %s.", "Merci de confirmer avant aujourd'hui %s que vous déposerez le colis dans la boîte aux lettres décrite ci-dessus, avant le %s à %s."
"Retrieval address", "Adresse de retour"
"This address is not eligible for MailBox pick-up.", "Cette adresse n'est pas éligible au retour en boîte aux lettres."
"When activated, customers will be allowed to automatically create return labels and use them to return the parcel from their MailBox.","Quand activé, les clients pourront créer automatiquement leur étiquette de retour et les utiliser pour renvoyer leur colis depuis leur boîte aux lettres."
"You may change the address the return will be made from via the following fields:", "Vous pouvez changer l'adresse depuis laquelle le retour sera envoyé via les champs suivants :"
"Your shipment was initially sent to the following address:", "Votre colis a été initialement envoyé à cette adresse :"
"Error during IDs checking", "Erreur durant la vérification des identifiants"
"An error occured while confirming this pick-up!","Une erreur est survenue pendant la confirmation de ce retour en boîte aux lettres !"
"An error occured while generating the return tracking number!","Une erreur est survenue pendant la génération du numéro de suivi du colis de retour !"
"Modify my relay","Modifier mon point de retrait"
"Confirm relay","Confirmer le point de retrait"
"Do you confirm the shipment to this relay:","Confirmez-vous la livraison à ce point de retrait :"
"Please choose a relay for this shipping method","Veuillez choisir un point de retrait pour cette méthode de livraison"
"Choose this relay","Choisir ce point de retrait"
"The window to choose your pickup point is currently unavailable. Please refresh the page and try again. If the problem persists, please contact the website administrator.","La fenêtre de choix du point de retrait est actuellement indisponible. Merci de recharger la page et de réessayer. Si le problème persiste, merci de contacter l'administrateur du site."
"Colissimo relay","Relais Colissimo"
"Generate a Delivery docket","Générer un Bordereau de remise"
"Bordereaux","Bordereaux"
"Bordereau Number","Numéro de bordereau"
"Code Site PCH","Code Site PCH"
"Number of parcels","Nombre de colis"
"Parcels Numbers","Numéros des colis"
"Download Bordereau","Télécharger le Bordereau"
"Publishing date","Date de génération"
"Unable to generate delivery docket","Impossible de générer le borderau de remise"
"Delivery docket has been generated.","Le bordereau de remise a été généré."
"Bad output format","Mauvais format de retour"
"Weight cannot be negative!","Les poids ne peut être négatif !"
"RecommendationLevel and InsuranceValue are mutually incompatible.","L'assurance Colissimo et le niveau de recommandation sont mutuellement incompatible."
"Bad recommendation level","Mauvais niveau de recommendation."
"The ProductCode used requires that a pickupLocationId is set!","Le Code produit utilisé requiert qu'un pickupLocationId soit valué."
"The ProductCode used requires that a pickupLocationId is *not* set!","Le Code produit utilisé requiert que le prickupLocationId ne soit *pas* valué !"
"The ProductCode used requires that a commercialName is set!","Le Code produit utilisé requiert qu'un commercialName soit valué !"
"companyName must be set in Sender address!","companyName doit être valué dans l'adresse de l'expéditeur !"
"line2 must be set in Sender address!","line2 doit être valué dans l'adresse de l'expéditeur !"
"countryCode must be set in Sender address!","countryCode doit être valué dans l'adresse de l'expéditeur !"
"zipCode must be set in Sender address!","zipCode doit être valué dans l'adresse de l'expéditeur !"
"city must be set in Sender address!","city doit être valué dans l'adresse de l'expéditeur !"
"companyName or (firstName + lastName) must be set in Addressee address!","companyName ou (firstName + lastName) doit être valué dans l'adresse de destinataire !"
"companyName must be set in Addressee address for return label!","companyName doit être valué dans l'adresse de destinataire pour les étiquettes de retour !"
"line2 must be set in Addressee address!","line2 doit être valué dans l'adresse de destinataire !"
"countryCode must be set in Addressee address!","countryCode doit être valué dans l'adresse de destinataire !"
"zipCode must be set in Addressee address!","zipCode doit être valué dans l'adresse de destinataire !"
"city must be set in Addressee address!","city doit être valué dans l'adresse de destinataire !"
"Status history","Historique des statuts"
"Anomaly","Anomalie"
"Colissimo","Colissimo"
"ColiShip","ColiShip"
"Generate ColiShip export","Générer l'export ColiShip"
"ColiShip export functionalities are only available when ColiShip is used in the configuration.","Les fonctionnalités d'export pour ColiShip ne sont utilisables que lorsque ColiShip est activé dans la configuration."
"File missing or wrong format (CSV expected)", "Fichier manquant ou mauvais format (CSV attendu)"
"Import is done", "Import terminé"
"An error occured during import", "Une erreur est survenue lors de l'import "
"Only CSV files are accepted", "Seuls les fichiers CSV sont acceptés"
"Import ColiShip File", "Importer le fichier ColiShip"
"The following line does not have the correct fields", "La ligne suivante n'a pas les bons champs"
"Cannot create shipment for order", "Impossible de créer d'expédition pour cette commande"
"Current situation dashboard","Tableau de bord de situation actuelle"
"Colissimo current situation dashboard","Tableau de bord de situation actuelle Colissimo"
"To ship","A expédier"
"Shipment","Colis"
"Bordereau association","Association avec un borderau"
"Any","Tous"
"Only in a bordereau","Uniquement si dans un bordereau"
"Only *not* in a bordereau","Uniquement si *pas* dans un bordereau"
"Without label","Sans étiquette"
"Only with label","Uniquement avec une étiquette"
"Only without label","Uniquement sans étiquette"
"View Order","Voir la commande"
"View Shipment","Voir le colis"
"Print label","Imprimer l'étiquette"
"Only in anomaly","Uniquement en anomalie"
"Only to print","Uniquement à imprimer"
"Number of days to consider a return label for purging (days)","Nombre de jours pour la purge des étiquettes de retours (jours)"
"Delay before deleting return label BLOB from database. Use 0 or leave empty to disable this purge.","Période après laquelle une purge supprimera le BLOB de l'étiquette de retour de la base de données. Utiliser 0 ou laisser vide pour désactiver cette purge."
"Print return label","Imprimer l'étiquette de retour"
"Label creation is available to client", "Création d'étiquette de retour disponible au client"
"Your order is being prepared and will soon be taken care of for shipping.","Votre commande est en cours de préparation et sera bientôt prise en charge pour expédition."
"You can check your order status <a href=""%trackinglink"" target=""_blank"">here</a>.","Vous pouvez suivre le statut de votre commande <a href=""%trackinglink"" target=""_blank"">ici</a>."
"%storename order status change","Changement du statut de commande sur %storename"
"Send tracking email","Envoi du mail de suivi"
"Send the tracking link in an email to customer on label or bordereau generation.","Envoi du lien de suivi de commande par email à la génération de l'étiquette ou du bordereau."
"Dashboard","Tableau de bord"
"Default HS code","Code SH par défaut"
"Default customs Category","Catégorie de nature des envois"
"Define the nature of the shipment","Indique la nature de l'envoi (pour les envois internationaux ou vers l'outre-mer soumis à la déclaration CN23)"
"Other","Autre"
"Gift","Cadeau"
"Commercial sample","Echantillon commercial"
"Commercial shipment","Envoi commercial"
"Document","Document"
"Send return label email", "Envoi du mail avec l'étiquette de retour"
"Send label in an email to customer on return label generation.", "Envoi de l'étiquette en pièce jointe par email à la génération de l'étiquette de retour"
"You can find the outward label for this order attached to this email.", "Vous pouvez trouver l'étiquette de retour de cette commande en pièce jointe de cet e-mail."
"Email inward label", "Envoyer l'étiquette retour par e-mail"
"Return label was sent", "L'étiquette retour a bien été envoyée"
"Please generate return label", "Veuillez générer l'étiquette retour"
"Shipment not found", "Livraison introuvable"
"Are parcels free of taxes and fees?","Colis franc de taxes et de droits ?"
"For french overseas destinations only (except St-Pierre-et-Miquelon)","Pour les DOM-TOM uniquement (sauf St-Pierre-et-Miquelon)"
"Generate bordereau","Générer un bordereau"
"You can scan the labels. Once finished, you can submit to generate your bordereau.","Vous pouvez scanner les étiquettes. Une fois fini, validez pour générer le bordereau."
"Reset","Réinitialiser"
"Remove last code","Supprimer le dernier code"
"Bordereau via scan","Bordereau par scan"
"Code added to list: ","Code ajouté à la liste : "
"Wrong data, code not added: ","Donnée incorrecte, code non ajouté : "
"Code removed: ","Code supprimé : "
" (see logs for details)"," (consulter le log pour voir plus de détails)"
"wrong data selected","mauvaises données sélectionnées"
"Access Colissimo Box","Accéder à Colissimo Box"
"An error occurred during printing", "Une erreur est survenue durant l'impression"
"Parameters are incorrect.", "Les paramètres sont incorrects"
"Cannot print label before generation.","L'étiquette ne peut pas être imprimée avant d'avoir été générée?"
"Download inward label", "Télécharger l'étiquette retour"
"Download outward label", "Télécharger l'étiquette aller"
"An error occurred during download", "Une erreur est survenue durant le téléchargement"
"Download shipment related information", "Télécharger les informations liées à la livraison"
"Longer than 3 days","Plus de 3 jours"
"In transit","Pris en charge"
"Unknow status","Statut inconnu"
"No status","Pas de statut"
"Please generate label", "Veuillez générer l'étiquette"
"Download label","Télécharger l'étiquette"
"Invoice missing for order #%1 to create label","Facture manquante sur la commande #%1 pour générer l'étiquette"
"There must be only one invoice on order #%1 to create return label with CN23.","Il ne doit y avoir qu'une seule facture sur la commande #%1 pour créer l'étiquette de retour avec CN23"
"Canary Islands","Îles Canaries"
"Please generate inward label","Veuillez générer l'étiquette retour"
"Google Maps API Key","Clé d'API Google Maps"
"This key is needed to display the selection map","Cette clé est nécessaire pour afficher la carte de sélection des points de retrait"
"no change","Aucun changement"
"Download example of FMT file","Télécharger un exemple de fichier FMT"
"Retrieve an example of Colissimo FMT file.","Récupérer un exemple de fichier FMT Colissimo."
"Check","Vérifier"
"You can define specific HS code per product in the product attribute 'Product HS Code'. If not, the default code will be used.","Vous pouvez définir un code HS par produit dans l'attribut 'Code HS produit'. Si un code n'est pas défini pour un produit, ce code par défaut sera utilisé."
"Product HS Code","Code HS produit"
"Cannot find order %s","Impossible de trouver la commande %s"
"Shipping fees based on","Frais de livraison basé sur"
"Do you want to base your shipping fees on cart weight (default) or on cart price?","Voulez-vous baser les frais de livraison sur le poids du panier (par défaut) ou sur le prix du panier?"
"Cart weight","Poids du panier"
"Cart price","Prix du panier"
"Colissimo Flash without signature","Colissimo Flash sans signature"
"Colissimo Flash with signature","Colissimo Flash avec signature"
"Enable the Colissimo Flash without signature mode","Activer la méthode Colissimo Flash sans signature"
"Enable the Colissimo Flash with signature mode","Activer la méthode Colissimo Flash avec signature"
"The Colissimo Flash method (J+1) will not be available past this hour.","La méthode Colissimo Flash (J+1) ne sera pas disponible après cet horaire."
"Colissimo Flash Maximum hour","Colissimo Flash Heure maximum"
"Maximum weight / price","Poids / prix maximum"
"Do you want to limit the weight or price you can ship with this method? Use 0 or leave empty to disable the check.","Voulez-vous limiter le poids / prix autorisé pour ce mode de livraison? Utilisez 0 ou laissez vide pour désactiver la vérification."
"Colissimo In-Transit","Colissimo En Transit"
"Colissimo Delivered","Colissimo Livré"
"Colissimo Anomaly","Colissimo Anomalie"
"Colissimo Ready to ship","Colissimo Prêt à être expédié"
"Download shipment related informations","Télécharger les étiquettes de livraison"
"Print shipment related informations","Imprimer les étiquettes de livraison"
"Contact us","Contactez-nous"
"On label generation","A la génération de l'étiquette"
"On bordereau generation","A la génération du bordereau"
"Display shipping methods logo on checkout","Afficher le logo des méthodes de livraison lors du checkout"
"Choose to add the shipping methods logo next to the method name in the checkout","Choisissez d'ajouter le logo des méthodes de livraison à côté du nom de la méthode dans le checkout"
"Timeline", "Chronologie"
"Step number","Numéro d'étape"
"Method","Méthode"
"Cart weight min","Poids minimum du panier"
"Cart weight max","Poids maximum du panier"
"Cart price min","Prix minimum du panier"
"Cart price max","Prix maximum du panier"
"Prices","Prix"
"Price ranges","Grille des prix"
"Configuration","Configuration"
"Back to configuration","Retour à la configuration"
"Delete Price","Supprimer le prix"
"Are you sure you want to do this","Êtes-vous sur de vouloir supprimer ?"
"Save Price","Sauvegarder le prix"
"Add new price","Ajouter un nouveau prix"
"Edit Price %1 - %2","Éditer le prix %1 - %2"
"Edit Price","Éditer le Prix"
"New Price","Nouveau Prix"
"You deleted the Price.","Vous avez supprimé le Prix"
"We can't find a Price to delete.","Impossible de trouver le Prix à supprimer."
"This Price no longer exists.","Ce prix n'existe plus."
"You saved the Price.","Vous avez sauvegardé le Prix."
"Outward label not allowed for this destination","Etiquette aller non autorisée pour cette destination"
"Inward label not allowed for this destination","Etiquette retour non autorisée pour cette destination"
"Unknown error","Erreur inconnue"
"An error occurred when transmitting the file %1$s: %2$s","Une erreur est survenue lors de la transmission du fichier %1$s : %2$s"
"An error occurred while getting the customs files for this order: %s","Une erreur est survenue lors de la récupération des documents de douane pour cette commande : %1$s"
"Customs documents","Documents douaniers"
"In accordance with the customs regulation, it is necessary to provide documents related to the parcels for the customs.","Dans le cadre de la réglementation liée aux douanes, il est nécessaire de fournir des documents liés aux colis pour les douanes."
"It is possible to send these documents through the parcel tracking tool or using the module from here.","Il est possible d'envoyer ces documents via l'outil de suivi de colis ou via le module à cet endroit."
"Custom clearance bordereau","Bordereau de dédouanement"
"Original certificate","Certificat d’origine"
"Customs declaration","Déclaration pour les douanes"
"Export license","Licence d’exportation"
"Parcel invoice","Facture du colis"
"Compensation report","Bilan d'indemnisation"
"Delivery certificate","Attestation de livraison"
"Label","Etiquette"
"Proof of delivery","Preuve de livraison"
"Other document","Autre document"
"Unique administrative document","Document administratif unique"
"Picture","Photo"
"Document type","Type du document"
"Add an other document","Ajouter un autre document"
"Submit the documents","Soumettre les documents"
"Error sending the customs document %1$s for the parcel number %2$s","Erreur lors de l'envoi du document de douanes %1$s pour le numéro de suivi %2$s"
"Colissimo services","Services Colissimo"
"Check status","Vérifier l'état"
"An error occurred while deleting label for shipment #%1: ","Une erreur est survenue durant la suppression des étiquettes pour l'expédition #%1 : "
"Shipping labels have been deleted.","Les étiquettes ont été supprimées."
"Delete labels","Supprimer les étiquettes"
"Sending service","Service d'envoi"
"Sending service used for Austria, Germany, Italy and Luxembourg","Service d'envoi utilisé pour l'Autriche, l'Allemagne, l'Italie et le Luxembourg"
"Local postal service","Service postal local"
"Parent account ID","Référence de compte parent"
"If you use an advanced account, please enter the parent account ID","Si vous utilisez un compte utilisateur avancé, veuillez renseigner l'identifiant du compte parent"
"Colour of the selected pickup point in the list and on the map","Couleur du point de retrait sélectionné dans la liste et sur la carte"
"Information icons color","Couleur des pictos d'information"
"Font","Police"
"Font for texts inside the widget","Police pour les textes dans le widget de points de retrait"
"If enabled, you can customize font and font color of the Colissimo widget","Si activé, vous pouvez personnaliser la police ainsi que la couleur de police du widget Colissimo"
"Customize widget","Personnalisation du widget"
"URL is valid","L'URL est valide"
"Error calling URL:","Erreur lors de l'appel de l'URL :"
"No URL saved.","Aucune URL enregistrée"
"Option price for Australia","Surcoût à appliquer pour l'Australie"
"Option price for Bahrain","Surcoût à appliquer pour le Bahreïn"
"Option price for Canada","Surcoût à appliquer pour le Canada"
"Option price for China","Surcoût à appliquer pour la Chine"
"Option price for Egypt","Surcoût à appliquer pour l'Égypte"
"Option price for Hong Kong","Surcoût à appliquer pour Hong Kong"
"Option price for Indonesia","Surcoût à appliquer pour l'Indonésie"
"Option price for Japan","Surcoût à appliquer pour le Japon"
"Option price for Kuwait","Surcoût à appliquer pour le Koweït"
"Option price for Mexico","Surcoût à appliquer pour le Mexique"
"Option price for Oman","Surcoût à appliquer pour l'Oman"
"Option price for Philippines","Surcoût à appliquer pour les Philippines"
"Option price for Saudi Arabia","Surcoût à appliquer pour l'Arabie Saoudite"
"Option price for Singapore","Surcoût à appliquer pour Singapour"
"Option price for South Africa","Surcoût à appliquer pour l'Afrique du Sud"
"Option price for South Korea","Surcoût à appliquer pour la Corée du Sud"
"Option price for Switzerland","Surcoût à appliquer pour la Suisse"
"Option price for Thailand","Surcoût à appliquer pour la Thaïlande"
"Option price for United Arab Emirates","Surcoût à appliquer pour les Émirats Arabes Unis"
"Option price for United Kingdom","Surcoût à appliquer pour le Royaume Uni"
"Option price for United States","Surcoût à appliquer pour les États-Unis"
"Delivery Duty Paid","Droits de livraison acquittés"
"Colissimo Domicile with signature - DDP Option","Colissimo Domicile avec signature - Option DDP"
"This delivery method will allow you to set the shipment 'Colissimo with Signature with DDP' which is only valid and will be displayed for the United Kingdom. It is restricted to commercial shipments between 160€ and 1050€ included.","Cette méthode de livraison vous permettra de régler l'envoi 'Colissimo avec Signature avec DDP' qui n'est valable et qui s'affichera uniquement pour le Royaume Uni. Il est réservé aux envois commerciaux entre 160€ et 1050€ inclus."
"Colissimo International - DDP Option","Colissimo International - Option DDP"
"This delivery method will allow you to set the shipment 'Colissimo International - DDP Option' which is valid and will be displayed only for the following countries: Australia, Bahrain, Canada, China, Egypt, Hong Kong, Indonesia, Japan, Kuwait, Mexico, Oman, Philippines, Saudi Arabia, Singapore, South Africa, South Korea, Switzerland, Thailand, United Arab Emirates, United Kingdom, USA","Cette méthode de livraison vous permettra de régler l'envoi 'Colissimo International - Option DDP' qui n'est valable et qui s'affichera uniquement pour les pays suivants : Australie, Bahreïn, Canada, Chine, Égypte, Hong Kong, Indonésie, Japon, Koweït, Mexique, Oman, Philippines, Arabie Saoudite, Singapour, Afrique du Sud, Corée du Sud, Suisse, Thaïlande, Émirats Arabes Unis, Royaume Uni, États-Unis"
"Message displayed when selecting the delivery method","Message affiché lors de la sélection du mode de livraison"
"Shipping state missing for label generation with this country","Province de destination manquante pour la génération d'une étiquette pour ce pays"
"Please define a mobile phone number for SMS notification tracking","Veuillez définir un numéro de téléphone portable pour les notifications de suivi par SMS"
"Please enter the package dimensions","Veuillez définir les dimensions du colis"
"Please enter the EORI code in the Colissimo configuration","Veuillez entrer le code EORI dans la configuration Colissimo"
"Colissimo information for DDP","Information Colissimo pour DDP"
"Extra information needed for Colissimo DDP delivery methods","Informations supplémentaires nécessaires pour les méthodes de livraison Colissimo DDP"
"Generic description of articles in English","Description générique des articles en anglais"
"Package length (cm)","Longueur du colis (cm)"
"Package width (cm)","Largeur du colis (cm)"
"Package height (cm)","Hauteur du colis (cm)"
"Save DDP data","Sauvegarder les données DDP"
"Shipping address:","Adresse de livraison :"
"Tracking number: <a href=""%trackinglink"" target=""_blank"">%tracknb</a>.","Numéro de suivi : <a href=""%trackinglink"" target=""_blank"">%tracknb</a>."
"The mobile number for a French destination must start with +33 or 0, followed by 6 or 7 and be 12 or 10 characters long. For example 06XXXXXXXX or +336XXXXXXXX","Le numéro de mobile pour une destination française doit commencer par +33 ou 0, suivi de 6 ou 7 et être long de 12 ou 10 caractères. Par exemple 06XXXXXXXX ou +336XXXXXXXX"
"The mobile number for a Belgian destination must start with +324 and be 12 characters long. For example +324XXXXXXXX","Le numéro de mobile pour une destination Belge doit commencer par +324 et être long de 12 caractères. Par exemple +324XXXXXXXX"
"The insurance value has been lowered to the maximum value authorized for this sending method: %s","Le montant de l'assurance a été réduit au montant maximum autorisé pour cette méthode d'expédition : %s"
"Insurance is not available for this country and/or shipping method","L'assurance n'est pas disponible pour ce pays et / ou cette méthode d'expédition"
"Shipping method changed to %1$s for %2$d orders.","Méthode d'expédition changée pour %1$s sur %2$d commandes."
"Ship with: Colissimo Domicile without signature","Livrer avec : Colissimo Domicile sans signature"
"Ship with: Colissimo Domicile with signature","Livrer avec : Colissimo Domicile avec signature"
"Ship with: Colissimo Domicile with signature - DDP Option","Livrer avec : Colissimo Domicile avec signature - Option DDP"
"Ship with: Colissimo International","Livrer avec : Colissimo International"
"Ship with: Colissimo International - DDP Option","Livrer avec : Colissimo International - Option DDP"
"Shipping method changed to %1$s for %2$d orders.","Méthode de livraison changée pour %1$s sur %2$d commandes."
"The order #%1$d cannot be shipped with %2$s","La commande #%1$d ne peut pas être livrée avec %2$s"
"The order #%d was made to be shipped to a relay point, make sure to change its shipping address!","La commande #%d était prévue pour être livrée vers un point de retrait, assurez-vous de changer son adresse de livraison !"
"Colissimo support","Support Colissimo"
"Plugin support","Support de l'extension"
"Error generating outward label:","Erreur de génération d'étiquette aller :"
"Error generating inward label:","Erreur de génération d'étiquette retour :"
"Order status when order is partially shipped","Statut des commandes quand la commande est partiellement expédiée"
"Order status to apply after successful label generation for partial shipping.","Statut de la commande à appliquer après la génération de l'étiquette pour une expédition partielle."
"Colissimo Partial Expedition","Colissimo Expédition partielle"
"Order status to apply after successful final label generation (be sure to use a status with COMPLETE state)","Statut de la commande à appliquer après la génération de l'étiquette finale (veillez à utiliser un statut avec l'état COMPLET)"
"Save insurance amount","Sauvegarder le montant d'assurance"
"Colissimo insurance","Assurance Colissimo"
"Personalized amount of insurance","Montant personnalisé de l'assurance"
"Use Colissimo Insurance for outward label?","Utiliser l'assurance Colissimo pour les étiquettes aller ?"
"If enabled, each outward label generation will use Colissimo Insurance feature by default.","Si activé, les étiquettes aller automatiquement générées utiliseront l'assurance Colissimo."
"Use Colissimo Insurance for inward label?","Utiliser l'assurance Colissimo pour les étiquettes retour ?"
"If enabled, each inward label generation will use Colissimo Insurance feature by default.","Si activé, les étiquettes retour automatiquement générées utiliseront l'assurance Colissimo."
"Automatically select the nearest relay point","Sélectionner automatiquement le point de retrait le plus proche"
"When the user selects the relay method during the checkout, it will automatically propose a relay point based on the shipping address","Lorsque l'utilisateur sélectionne la méthode en point de retrait lors du tunnel de commande, un point de retrait est automatiquement proposé basé sur l'adresse de livraison"
"Choose my relay","Choisir mon point de retrait"
"Closest pickup point:","Point de retrait le plus proche :"
"La Poste Colissimo number of parcels","Nombre de colis La Poste Colissimo"
"La Poste Colissimo parcel number","Numéro de colis La Poste Colissimo"
"La Poste Colissimo shipping type","Type de colis La Poste Colissimo"
"Colissimo Multi Parcels","Colissimo Multi colis"
"Use the multi-parcels shipping","Utiliser l'envoi multi colis"
"Number of parcels","Nombre de colis"
"Save multi parcels data","Sauvegarder les données du multi colis"
"Incorrect number of parcels","Nombre de colis incorrect"
"All labels have already been generated","Toutes les étiquettes ont déjà été générées"
"Colissimo Widget","Widget Colissimo"
"Google Maps (requires an API key)","Google Maps (requiert une clé d'API)"
"Open Street Maps (free)","Open Street maps (gratuit)"
"The shipping costs must not be free for the customs declaration to be valid.","Les frais de livraison ne doivent pas être gratuits pour que la déclaration de douanes soit valide."
"Use Colissimo Insurance?","Utiliser l'assurance Colissimo ?"
"Video tutorials","Tutoriels vidéos"
"General presentation of the module","Présentation générale du module"
"Shipping methods configuration","Configuration des méthodes d'expédition"
"Labels generation","Génération des étiquettes"
